Entry	Entry Name	Organism	Length	Gene Ontology (GO)
O93348	HBB1_PAGBO	Pagothenia borchgrevinki (Bald rockcod) (Trematomus borchgrevinki)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02024	HBB_GORGO	Gorilla gorilla gorilla (Western lowland gorilla)	147	extracellular region [GO:0005576]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542]
P02036	HBB_SAISC	Saimiri sciureus (Common squirrel monkey)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02050	HBB_OTOCR	Otolemur crassicaudatus (Brown greater galago) (Galago crassicaudatus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02053	HBB_EULFU	Eulemur fulvus fulvus (Brown lemur)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02057	HBB_RABIT	Oryctolagus cuniculus (Rabbit)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02066	HBB_CERSI	Ceratotherium simum (White rhinoceros) (Square-lipped rhinoceros)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02067	HBB_PIG	Sus scrofa (Pig)	147	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P02070	HBB_BOVIN	Bos taurus (Bovine)	145	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P02072	HBB_BOSGR	Bos grunniens (Wild yak) (Bos mutus grunniens)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
